geo_unit,X,Y
AISLABY,54.49489974975586,-1.398650050163269
ARCHDEACON NEWTON,54.572200775146484,-1.6131199598312378
AUCKLAND ST. ANDREW,54.645301818847656,-1.648300051689148
AUCKLAND ST. HELEN,54.82229995727539,-1.4508399963378906
BARMPTON,54.53889846801758,-1.5188000202178955
BARMSTON,54.91299819946289,-1.48403000831604
BARNARD CASTLE,54.54650115966797,-1.9212000370025635
BEARPARK,54.78860092163086,-1.6348600387573242
BELMONT,54.76409912109375,-1.5834300518035889
BENFIELDSIDE,54.85929870605469,-1.8480000495910645
BILLINGHAM,54.68939971923828,-1.2197999954223633
BINCHESTER,54.69620132446289,-1.6812000274658203
BIRTLEY,54.89929962158203,-1.5757999420166016
BISHOP AUCKLAND,54.65409851074219,-1.6774499416351318
BISHOP MIDDLEHAM,54.67720031738281,-1.4889999628067017
BISHOPTON,54.583099365234375,-1.4214199781417847
BLACKWELL,54.51240158081055,-1.575600028038025
BOLAM,54.59749984741211,-1.7001299858093262
BOLDON,54.945499420166016,-1.424399971961975
BOLDON COLLIERY,54.947898864746094,-1.458799958229065
BOURN MOOR,54.84000015258789,-1.5002299547195435
BRADBURY,54.64820098876953,-1.508970022201538
BRAFFERTON,54.57429885864258,-1.5219800472259521
BRANCEPETH,54.7421989440918,-1.6655199527740479
BRANDON AND BYSHOTTLES,54.757598876953125,-1.610700011253357
BRIERTON,54.67409896850586,-1.2764300107955933
BROOM,54.782798767089844,-1.6244499683380127
BURDON,54.731998443603516,-1.4196699857711792
BUTTERWICK AND OLDACRES,54.67219924926758,-1.3701200485229492
BYERS GREEN,54.70240020751953,-1.655500054359436
CARLTON,54.549400329589844,-1.3779900074005127
CASSOP CUM QUARRINGTON,54.73640060424805,-1.5197199583053589
CASTLE EDEN,54.72560119628906,-1.3787000179290771
CHESTER LE STREET,54.851600646972656,-1.5720000267028809
CHILTON,54.66619873046875,-1.5685100555419922
CHOPWELL,54.91749954223633,-1.8205000162124634
CLAXTON,54.67409896850586,-1.2764300107955933
CLEATLAM,54.580501556396484,-1.8005000352859497
COATHAM MUNDEVILLE,54.57429885864258,-1.5219800472259521
COCKEN,54.8202018737793,-1.5262199640274048
COCKFIELD,54.60969924926758,-1.8128900527954102
