geo_unit,X,Y
E02000001,532290.3638,181745.9359
E02004372,582475.5406,110963.8205
E02006584,524353.1856,135416.2588
E02006411,504326.1721,170345.342
E02003401,470327.041,172513.707
E02005040,561565.9292,169067.6605
E02000269,516974.458,179729.9631
E02006466,500972.1021,157040.494
E02004783,435300.1668,112716.0693
E02005174,577676.6149,136203.2675
E02000213,532373.3222,166484.2918
E02005154,560890.71,157178.1306
E02000487,556006.0844,185779.8433
E02000065,547667.4459,180941.283
E02000881,538153.225,181605.4769
E02003507,536116.9185,105566.1246
E02000784,522363.9622,177239.1474
E02000932,525004.5972,175064.0777
E02004688,461861.3922,151261.9961
E02001835,412016.9292,295314.8029
E02000605,520707.4181,168341.7486
E02003935,233267.3677,84383.5142
E02007028,300890.295,95421.3117
E02004281,367583.1533,83372.5556
E02006595,518467.6595,129651.2843
E02000712,525613.9317,167188.4812
E02000619,531175.0853,178718.0232
E02004258,377733.1847,115640.513
E02006372,517163.7549,147598.9824
E02000747,539972.789,181177.8988
E02004699,471378.3749,139234.3964
E02003156,289491.3999,66167.8789
E02004202,294496.2746,87198.1045
E02000654,536708.2353,177838.2254
E02000193,530244.1501,181559.255
E02000005,548629.9425,186875.2643
E02004183,254819.1926,132446.1381
E02001897,408508.6921,285408.7017
E02000293,531845.5448,195539.4581
E02003032,363378.0755,174828.8099
E02005115,592584.295,174683.4287
E02003151,252711.6482,53221.2161
E02003319,573705.3408,169727.3273
E02000680,534869.4251,172389.7592
E02000758,542871.3303,190488.9546
E02003955,181937.1073,61188.8579
E02006089,356187.0979,116349.9366
E02003082,332092.0019,162019.021
E02005149,573235.6051,161681.3465
E02000643,530395.8783,172803.3191
E02000577,524350.0819,182020.428
E02004226,257281.4099,113783.8774
E02003428,486625.6435,179384.5379
E02006071,328695.7836,137247.4838
E02004156,292014.8044,92777.7506
E02000202,531524.7224,168329.0488
E02004377,578837.4425,109368.5084
E02004155,294797.6949,92980.0392
E02006564,488321.7852,121232.7947
E02003451,481357.9208,168988.3149
E02000943,528468.6729,173705.6204
E02003596,458373.1997,81949.7905
E02006366,514743.7466,156161.1592
E02000301,535130.7475,193751.7106
E02000583,524381.1435,180610.0827
E02003343,580059.9088,165271.1609
E02004144,300681.659,82734.0719
E02000140,546702.0311,169245.8912
E02000912,536776.4157,188133.9087
E02004795,432659.6388,95800.12
E02004187,271120.3046,125866.1241
E02000828,534387.7582,176919.4911
E02006578,527583.2757,137150.1971
E02000439,519280.1725,190925.714
E02000557,529269.4907,186572.6818
E02003170,292346.078,56072.9298
E02007111,533414.6503,182840.9551
E02003321,572057.121,169099.5189
E02000186,528977.2554,183426.3564
E02000375,523197.5767,180234.5279
E02004731,451060.8903,106788.4785
E02005173,558340.9162,138256.9293
E02006853,537498.4771,179542.0175
E02003174,408010.5738,95492.8137
E02004819,435925.6933,144931.1996
E02001911,401434.4401,284182.1731
W02000331,327767.4567,195990.6454
E02003430,496469.2883,177655.521
E02004273,334381.4859,93039.0502
E02003124,247140.8867,60272.9935
E02003455,471866.6086,166781.9417
E02003533,464445.5023,102546.1228
E02003164,288834.9652,62189.8309
E02006358,498632.9617,149763.6813
E02003924,164231.151,40150.7045
E02004147,300206.6372,81161.2302
E02003589,449421.514,89312.6781
E02004390,549810.715,99652.924
E02000028,526195.7617,195585.6551
E02003172,407482.9548,96472.5783
E02006462,496661.2753,158536.1327
E02004157,292802.8318,92043.6873
E02000467,553704.9666,191800.692
E02005158,557473.5534,148134.8562
E02003496,527249.5554,107190.9787
E02005072,578323.3304,156038.6589
E02004770,472487.8225,108155.9834
E02003504,530954.2281,105837.8975
E02006993,539885.0837,179307.1574
E02000471,551191.1969,190598.7224
E02004203,277339.0489,84047.3545
E02006420,488784.3897,160746.9636
E02004252,401600.8957,99810.0584
E02000138,537991.675,169507.7768
E02006995,538107.0879,185055.1823
E02004777,471864.8817,99154.8886
E02000335,543083.7021,175740.2166
E02000849,528706.4219,164841.0394
E02004158,291118.5959,91854.6005
E02004791,443599.2784,103193.7696
E02000567,532698.6346,184736.1496
E02006553,492334.9025,100960.078
E02006832,560517.1197,165545.2817
E02000077,547016.0769,176404.4155
E02003152,250472.4967,53155.27
E02004284,367921.2602,79458.5057
E02003163,292696.3371,63795.6725
E02003934,212655.6967,84505.2367
E02003202,406508.3248,92690.9677
E02000212,531407.9494,166567.3226
E02003403,468838.8318,172038.0029
E02000685,534847.911,171730.775
E02006387,525753.5046,148991.3325
E02006573,480513.1708,97256.2609
E02006557,492643.0476,99860.0504
E02003030,362185.4725,175123.2038
E02000266,513888.1184,180110.5331
E02006437,539079.6724,143481.8051
E02000081,549989.4395,175362.0597
E02000174,529356.0627,185008.4459
E02006534,524209.2551,106080.9527
E02006445,497173.7483,144524.349
E02000969,525406.3906,181849.7733
E02000733,539383.71,183588.9059
E02000031,526495.5423,194160.1763
E02000272,516353.3091,179357.4859
E02003408,496120.8437,181858.3215
E02005080,578260.7336,152789.0384
E02003134,246156.9067,57027.1297
E02006889,360693.5944,173264.0072
E02006613,534001.8688,123967.5413
E02000634,529786.2732,175098.9354
E02003576,444406.6444,111577.2676
E02003442,477764.3691,173641.7616
E02000210,533840.877,166841.4017
W02000317,316418.3616,210272.778
E02006457,504025.8279,160545.0932
E02000011,550251.6554,185065.8462
