filter.age,filter.sex,filter.activities.residence.venue_type,asymptomatic,symptomatic,hospitalisation,home_death,hospital_death
0-10,male,care_home,0.034,0.916,0.03,0.01,0.01
0-10,male,,0.034,0.916,0.03,0.01,0.01
0-10,female,care_home,0.034,0.916,0.03,0.01,0.01
0-10,female,,0.034,0.916,0.03,0.01,0.01
10-20,male,care_home,0.182,0.813,0.003,0.001,0.001
10-20,male,,0.182,0.813,0.003,0.001,0.001
10-20,female,care_home,0.182,0.813,0.003,0.001,0.001
10-20,female,,0.182,0.813,0.003,0.001,0.001
20-30,male,care_home,0.45,0.54796,0.002,2e-05,2e-05
20-30,male,,0.45,0.54796,0.002,2e-05,2e-05
20-30,female,care_home,0.45,0.54796,0.002,2e-05,2e-05
20-30,female,,0.45,0.54796,0.002,2e-05,2e-05
30-40,male,care_home,0.45,0.54796,0.002,2e-05,2e-05
30-40,male,,0.45,0.54796,0.002,2e-05,2e-05
30-40,female,care_home,0.45,0.54796,0.002,2e-05,2e-05
30-40,female,,0.45,0.54796,0.002,2e-05,2e-05
40-50,male,care_home,0.45,0.5478799999999999,0.002,6e-05,6e-05
40-50,male,,0.45,0.5478799999999999,0.002,6e-05,6e-05
40-50,female,care_home,0.45,0.5478799999999999,0.002,6e-05,6e-05
40-50,female,,0.45,0.5478799999999999,0.002,6e-05,6e-05
50-60,male,care_home,0.45,0.534,0.011,0.0025,0.0025
50-60,male,,0.45,0.534,0.011,0.0025,0.0025
50-60,female,care_home,0.45,0.534,0.011,0.0025,0.0025
50-60,female,,0.45,0.534,0.011,0.0025,0.0025
60-70,male,care_home,0.182,0.69,0.1,0.014,0.014
60-70,male,,0.182,0.69,0.1,0.014,0.014
60-70,female,care_home,0.182,0.69,0.1,0.014,0.014
60-70,female,,0.182,0.69,0.1,0.014,0.014
70-80,male,care_home,0.034,0.506,0.36,0.05,0.05
70-80,male,,0.034,0.506,0.36,0.05,0.05
70-80,female,care_home,0.034,0.506,0.36,0.05,0.05
70-80,female,,0.034,0.506,0.36,0.05,0.05
80-90,male,care_home,0.0,0.32,0.36,0.16,0.16
80-90,male,,0.0,0.32,0.36,0.16,0.16
80-90,female,care_home,0.0,0.32,0.36,0.16,0.16
80-90,female,,0.0,0.32,0.36,0.16,0.16
>=90,male,care_home,0.0,0.09,0.36,0.275,0.275
>=90,male,,0.0,0.09,0.36,0.275,0.275
>=90,female,care_home,0.0,0.09,0.36,0.275,0.275
>=90,female,,0.0,0.09,0.36,0.275,0.275
